sensor_id,timestamp,temperature,humidity,co2
S001,2025-06-01 08:00,24.5,58,410
S002,2025-06-01 08:00,25.1,60,420
S003,2025-06-01 08:00,26.3,62,435
S004,2025-06-01 08:00,23.8,55,405
S005,2025-06-01 08:00,27.0,64,450
S001,2025-06-01 09:00,24.8,59,412
S002,2025-06-01 09:00,25.4,61,425
S003,2025-06-01 09:00,26.5,63,438
S004,2025-06-01 09:00,24.0,56,408
S005,2025-06-01 09:00,27.3,65,455
S001,2025-06-01 10:00,25.0,60,415
S002,2025-06-01 10:00,25.7,62,428
S003,2025-06-01 10:00,26.8,64,440
S004,2025-06-01 10:00,24.2,57,410
S005,2025-06-01 10:00,27.5,66,460
S001,2025-06-01 11:00,25.2,61,418
S002,2025-06-01 11:00,26.0,63,432
S003,2025-06-01 11:00,27.0,65,445
S004,2025-06-01 11:00,24.5,58,412
S005,2025-06-01 11:00,27.8,67,465
